status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_or_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,target
12,48,32,A43,3060,61,74,4,A93,A101,4,A121,28.0,A143,A152,2,173,1,A191,1
11,30,32,A45,11998,61,72,1,A91,A101,1,A124,34.0,A143,A152,1,172,1,A192,1
14,9,32,A43,2697,61,73,1,A93,A101,2,A121,32.0,A143,A152,1,173,2,A191,0
14,18,34,A43,2404,61,73,2,A92,A101,2,A123,26.0,A143,A152,2,173,1,A191,0
11,12,32,A42,1262,65,75,2,A91,A101,4,A122,49.0,A143,A152,1,172,1,A192,0
14,6,32,A42,4611,61,72,1,A92,A101,4,A122,32.0,A143,A152,1,173,1,A191,1
14,24,32,A43,1901,62,73,4,A93,A101,4,A123,29.0,A143,A151,1,174,1,A192,0
14,15,34,A41,3368,64,75,3,A93,A101,4,A124,23.0,A143,A151,2,173,1,A192,0
14,12,32,A42,1574,61,73,4,A93,A101,2,A121,50.0,A143,A152,1,173,1,A191,0
13,18,31,A43,1445,65,74,4,A93,A101,4,A123,49.0,A141,A152,1,172,1,A191,0
14,15,34,A42,1520,65,75,4,A93,A101,4,A122,63.0,A143,A152,1,173,1,A191,0
12,24,34,A40,3878,62,72,4,A91,A101,2,A123,37.0,A143,A152,1,173,1,A192,0
11,47,32,A40,10722,61,72,1,A92,A101,1,A121,35.0,A143,A152,1,172,1,A192,0
11,48,32,A41,4788,61,74,4,A93,A101,3,A122,26.0,A143,A152,1,173,2,A191,0
12,48,33,A410,7582,62,71,2,A93,A101,4,A124,31.0,A143,A153,1,174,1,A192,0
12,12,32,A43,1092,61,73,4,A92,A103,4,A121,49.0,A143,A152,2,173,1,A192,0
11,24,33,A43,1024,61,72,4,A94,A101,4,A121,48.0,A142,A152,1,173,1,A191,1
14,12,32,A49,1076,61,73,2,A94,A101,2,A121,26.0,A143,A152,1,173,1,A192,0
12,36,32,A41,9398,61,72,1,A94,A101,4,A123,28.0,A143,A151,1,174,1,A192,1
11,24,34,A41,6419,61,75,2,A92,A101,4,A124,44.0,A143,A153,2,174,2,A192,0
13,42,34,A41,4796,61,75,4,A93,A101,4,A124,56.0,A143,A153,1,173,1,A191,0
14,48,34,A49,7629,65,75,4,A91,A101,2,A123,46.0,A141,A152,2,174,2,A191,0
12,48,32,A42,9960,61,72,1,A92,A101,2,A123,26.0,A143,A152,1,173,1,A192,1
14,12,32,A41,4675,65,72,1,A92,A101,4,A123,22.0,A143,A151,1,173,1,A191,0
14,10,32,A40,1287,65,75,4,A93,A102,2,A122,45.0,A143,A152,1,172,1,A191,0
14,18,32,A42,2515,61,73,3,A93,A101,4,A121,43.0,A143,A152,1,173,1,A192,0
12,21,34,A42,2745,64,74,3,A93,A101,2,A123,32.0,A143,A152,2,173,1,A192,0
14,6,32,A40,672,61,71,1,A92,A101,4,A121,54.0,A143,A152,1,171,1,A192,0
12,36,30,A43,3804,61,73,4,A92,A101,1,A123,42.0,A143,A152,1,173,1,A192,1
13,24,34,A40,1344,65,74,4,A93,A101,2,A121,37.0,A141,A152,2,172,2,A191,1
11,10,34,A40,1038,61,74,4,A93,A102,3,A122,49.0,A143,A152,2,173,1,A192,0
14,48,34,A40,10127,63,73,2,A93,A101,2,A124,44.0,A141,A153,1,173,1,A191,1
14,6,32,A42,1543,64,73,4,A91,A101,2,A121,33.0,A143,A152,1,173,1,A191,0
14,30,32,A41,4811,65,74,2,A92,A101,4,A122,24.0,A142,A151,1,172,1,A191,0
11,12,32,A43,727,62,72,4,A94,A101,3,A124,33.0,A143,A152,1,172,1,A192,1
12,8,32,A42,1237,61,73,3,A92,A101,4,A121,24.0,A143,A152,1,173,1,A191,1
12,9,32,A40,276,61,73,4,A94,A101,4,A121,22.0,A143,A151,1,172,1,A191,0
12,48,32,A410,5381,65,71,3,A93,A101,4,A124,40.0,A141,A153,1,171,1,A192,0
14,24,32,A42,5511,62,73,4,A93,A101,1,A123,25.0,A142,A152,1,173,1,A191,0
13,24,32,A42,3749,61,72,2,A92,A101,4,A123,26.0,A143,A152,1,173,1,A191,0
12,12,32,A40,685,61,74,2,A94,A101,3,A123,25.0,A141,A152,1,172,1,A191,1
13,4,32,A40,1494,65,72,1,A93,A101,2,A121,29.0,A143,A152,1,172,2,A191,0
11,36,31,A42,2746,61,75,4,A93,A101,4,A123,31.0,A141,A152,1,173,1,A191,1
11,12,32,A42,708,61,73,2,A93,A103,3,A122,38.0,A143,A152,1,172,2,A191,0
12,24,32,A42,4351,65,73,1,A92,A101,4,A122,48.0,A143,A152,1,172,1,A192,0
14,12,34,A46,701,61,73,4,A93,A101,2,A123,32.0,A143,A152,2,173,1,A191,0
11,15,33,A42,3643,61,75,1,A92,A101,4,A122,27.0,A143,A152,2,172,1,A191,0
12,30,34,A40,4249,61,71,4,A94,A101,2,A123,28.0,A143,A152,2,174,1,A191,1
11,24,32,A43,1938,61,72,4,A91,A101,3,A122,32.0,A143,A152,1,173,1,A191,1
11,24,32,A41,2910,61,74,2,A93,A101,1,A124,34.0,A143,A153,1,174,1,A192,0
11,18,32,A42,2659,64,73,4,A93,A101,2,A123,28.0,A143,A152,1,173,1,A191,0
14,18,34,A40,1028,61,73,4,A92,A101,3,A121,36.0,A143,A152,2,173,1,A191,0
11,8,34,A40,3398,61,74,1,A93,A101,4,A121,39.0,A143,A152,2,172,1,A191,0
14,12,34,A42,5801,65,75,2,A93,A101,4,A122,49.0,A143,A151,1,173,1,A192,0
14,24,32,A40,1525,64,74,4,A92,A101,3,A123,34.0,A143,A152,1,173,2,A192,0
13,36,32,A43,4473,61,75,4,A93,A101,2,A123,31.0,A143,A152,1,173,1,A191,0
12,6,32,A43,1068,61,75,4,A93,A101,4,A123,28.0,A143,A152,1,173,2,A191,0
11,24,34,A41,6615,61,71,2,A93,A101,4,A124,63.0,A143,A153,2,174,1,A192,0
14,18,34,A46,1864,62,73,4,A92,A101,2,A121,30.0,A143,A152,2,173,1,A191,1
12,60,32,A40,7408,62,72,4,A92,A101,2,A122,24.0,A143,A152,1,174,1,A191,1
14,48,34,A41,11590,62,73,2,A92,A101,4,A123,24.0,A141,A151,2,172,1,A191,1
11,24,30,A42,4110,61,75,3,A93,A101,4,A124,23.0,A141,A151,2,173,2,A191,1
11,6,34,A42,3384,61,73,1,A91,A101,4,A121,44.0,A143,A151,1,174,1,A192,1
12,13,32,A43,2101,61,72,2,A92,A103,4,A122,23.0,A143,A152,1,172,1,A191,0
11,15,32,A44,1275,65,73,4,A92,A101,2,A123,24.0,A143,A151,1,173,1,A191,1
11,24,32,A42,4169,61,73,4,A93,A101,4,A122,28.0,A143,A152,1,173,1,A191,0
12,10,32,A42,1521,61,73,4,A91,A101,2,A123,31.0,A143,A152,1,172,1,A191,0
12,24,34,A46,5743,61,72,2,A92,A101,4,A124,24.0,A143,A153,2,173,1,A192,0
11,21,32,A42,3599,61,74,1,A92,A101,4,A123,26.0,A143,A151,1,172,1,A191,0
12,18,32,A43,3213,63,72,1,A94,A101,3,A121,25.0,A143,A151,1,173,1,A191,0
12,18,32,A49,4439,61,75,1,A93,A102,1,A121,33.0,A141,A152,1,174,1,A192,0
13,10,32,A40,3949,61,72,1,A93,A103,1,A122,37.0,A143,A152,1,172,2,A191,0
14,15,34,A43,1459,61,73,4,A92,A101,2,A123,43.0,A143,A152,1,172,1,A191,0
12,13,34,A43,882,61,72,4,A93,A103,4,A121,23.0,A143,A152,2,173,1,A191,0
12,24,32,A43,3758,63,71,1,A92,A101,4,A124,23.0,A143,A151,1,171,1,A191,0
14,6,33,A49,1743,62,73,1,A93,A101,2,A121,34.0,A143,A152,2,172,1,A191,0
12,9,34,A46,1136,64,75,4,A93,A101,3,A124,32.0,A143,A153,2,173,2,A191,1
14,9,32,A44,1236,61,72,1,A92,A101,4,A121,23.0,A143,A151,1,173,1,A192,0
12,9,32,A42,959,61,73,1,A92,A101,2,A123,29.0,A143,A152,1,173,1,A191,1
14,18,34,A41,3229,65,71,2,A93,A101,4,A124,38.0,A143,A152,1,174,1,A192,0
11,12,30,A43,6199,61,73,4,A93,A101,2,A122,28.0,A143,A151,2,173,1,A192,1
14,10,32,A46,727,63,75,4,A93,A101,4,A124,46.0,A143,A153,1,173,1,A192,0
12,24,32,A40,1246,61,72,4,A93,A101,2,A121,23.0,A142,A152,1,172,1,A191,1
14,12,34,A43,2331,65,75,1,A93,A102,4,A121,49.0,A143,A152,1,173,1,A192,0
14,36,33,A43,4463,61,73,4,A93,A101,2,A123,26.0,A143,A152,2,174,1,A192,1
14,12,32,A43,776,61,73,4,A94,A101,2,A121,28.0,A143,A152,1,173,1,A191,0
11,30,32,A42,2406,61,74,4,A92,A101,4,A121,23.0,A143,A151,1,173,1,A191,1
12,18,32,A46,1239,65,73,4,A93,A101,4,A124,61.0,A143,A153,1,173,1,A191,0
13,12,32,A43,3399,65,75,2,A93,A101,3,A123,37.0,A143,A152,1,174,1,A191,0
13,12,33,A40,2247,61,73,2,A92,A101,2,A123,36.0,A142,A152,2,173,1,A192,0
14,6,32,A42,1766,61,73,1,A94,A101,2,A122,22.0,A143,A151,1,173,1,A191,0
11,18,32,A42,2473,61,71,4,A93,A101,1,A123,25.0,A143,A152,1,171,1,A191,1
14,12,32,A49,1542,61,74,2,A93,A101,4,A123,36.0,A143,A152,1,173,1,A192,0
14,18,34,A41,3850,61,74,3,A93,A101,1,A123,27.0,A143,A152,2,173,1,A191,0
11,18,32,A42,3650,61,72,1,A92,A101,4,A123,22.0,A143,A151,1,173,1,A191,0
11,36,32,A42,3446,61,75,4,A93,A101,2,A123,42.0,A143,A152,1,173,2,A191,1
12,18,32,A42,3001,61,74,2,A92,A101,4,A121,40.0,A143,A151,1,173,1,A191,0
14,36,32,A40,3079,65,73,4,A93,A101,4,A121,36.0,A143,A152,1,173,1,A191,0
14,18,34,A43,6070,61,75,3,A93,A101,4,A123,33.0,A143,A152,2,173,1,A192,0
14,10,34,A42,2146,61,72,1,A92,A101,3,A121,23.0,A143,A151,2,173,1,A191,0
14,60,34,A40,13756,65,75,2,A93,A101,4,A124,63.0,A141,A153,1,174,1,A192,0
12,60,31,A410,14782,62,75,3,A92,A101,4,A124,60.0,A141,A153,2,174,1,A192,1
11,48,31,A49,7685,61,74,2,A92,A103,4,A123,37.0,A143,A151,1,173,1,A191,1
14,18,33,A43,2320,61,71,2,A94,A101,3,A121,34.0,A143,A152,2,173,1,A191,0
14,7,33,A43,846,65,75,3,A93,A101,4,A124,36.0,A143,A153,1,173,1,A191,0
12,36,32,A40,14318,61,75,4,A93,A101,2,A124,57.0,A143,A153,1,174,1,A192,1
14,6,34,A40,362,62,73,4,A92,A101,4,A123,52.0,A143,A152,2,172,1,A191,0
11,20,32,A42,2212,65,74,4,A93,A101,4,A123,39.0,A143,A152,1,173,1,A192,0
12,18,32,A41,12976,61,71,3,A92,A101,4,A124,38.0,A143,A153,1,174,1,A192,1
14,22,32,A40,1283,65,74,4,A92,A101,4,A122,25.0,A143,A151,1,173,1,A191,0
13,12,32,A40,1330,61,72,4,A93,A101,1,A121,26.0,A143,A152,1,173,1,A191,0
14,30,33,A49,4272,62,73,2,A93,A101,2,A122,26.0,A143,A152,2,172,1,A191,0
14,18,34,A43,2238,61,73,2,A92,A101,1,A123,25.0,A143,A152,2,173,1,A191,0
14,18,32,A43,1126,65,72,4,A92,A101,2,A121,22.0,A143,A151,1,173,1,A192,0
12,18,34,A42,7374,61,71,4,A93,A101,4,A122,40.0,A142,A152,2,174,1,A192,0
12,15,34,A49,2326,63,73,2,A93,A101,4,A123,27.0,A141,A152,1,173,1,A191,0
14,9,32,A49,1449,61,74,3,A92,A101,2,A123,27.0,A143,A152,2,173,1,A191,0
14,18,32,A40,1820,61,73,2,A94,A101,2,A122,30.0,A143,A152,1,174,1,A192,0
12,12,32,A42,983,64,72,1,A92,A101,4,A121,22.0,A143,A151,1,172,1,A191,0
11,36,32,A40,3249,61,74,2,A93,A101,4,A124,39.0,A141,A153,1,174,2,A192,0
11,6,34,A43,1957,61,74,1,A92,A101,4,A123,31.0,A143,A152,1,173,1,A191,0
14,9,34,A42,2406,61,71,2,A93,A101,3,A123,31.0,A143,A152,1,174,1,A191,0
12,39,33,A46,11760,62,74,2,A93,A101,3,A124,32.0,A143,A151,1,173,1,A192,0
11,12,32,A42,2578,61,71,3,A92,A101,4,A124,55.0,A143,A153,1,174,1,A191,0
11,36,34,A42,2348,61,73,3,A94,A101,2,A122,46.0,A143,A152,2,173,1,A192,0
12,12,32,A40,1223,61,75,1,A91,A101,1,A121,46.0,A143,A151,2,173,1,A191,1
14,24,34,A43,1516,64,73,4,A92,A101,1,A121,43.0,A143,A152,2,172,1,A191,0
14,18,32,A43,1473,61,72,3,A94,A101,4,A121,39.0,A143,A152,1,173,1,A192,0
12,18,34,A49,1887,65,73,4,A94,A101,4,A121,28.0,A141,A152,2,173,1,A191,0
14,24,33,A49,8648,61,72,2,A93,A101,2,A123,27.0,A141,A152,2,173,1,A192,1
14,14,33,A40,802,61,73,4,A93,A101,2,A123,27.0,A143,A152,2,172,1,A191,0
12,18,33,A40,2899,65,75,4,A93,A101,4,A123,43.0,A143,A152,1,173,2,A191,0
12,24,32,A43,2039,61,72,1,A94,A101,1,A122,22.0,A143,A152,1,173,1,A192,1
14,24,34,A41,2197,65,74,4,A93,A101,4,A123,43.0,A143,A152,2,173,2,A192,0
11,15,32,A43,1053,61,72,4,A94,A101,2,A121,27.0,A143,A152,1,173,1,A191,0
14,24,32,A43,3235,63,75,3,A91,A101,2,A123,26.0,A143,A152,1,174,1,A192,0
13,12,34,A40,939,63,74,4,A94,A101,2,A121,28.0,A143,A152,3,173,1,A192,1
12,24,32,A43,1967,61,75,4,A92,A101,4,A123,22.0,A143,A152,1,173,1,A192,0
14,33,34,A41,7253,61,74,3,A93,A101,2,A123,35.0,A143,A152,2,174,1,A192,0
14,12,34,A49,2292,61,71,4,A93,A101,2,A123,42.0,A142,A152,2,174,1,A192,1
14,10,32,A40,1597,63,73,3,A93,A101,2,A124,40.0,A143,A151,1,172,2,A191,0
11,24,32,A40,1381,65,73,4,A92,A101,2,A122,35.0,A143,A152,1,173,1,A191,1
14,36,34,A41,5842,61,75,2,A93,A101,2,A122,35.0,A143,A152,2,173,2,A192,0
11,12,32,A40,2579,61,72,4,A93,A101,1,A121,33.0,A143,A152,1,172,2,A191,1
11,18,33,A46,8471,65,73,1,A92,A101,2,A123,23.0,A143,A151,2,173,1,A192,0
14,21,32,A40,2782,63,74,1,A92,A101,2,A123,31.0,A141,A152,1,174,1,A191,0
12,18,32,A40,1042,65,73,4,A92,A101,2,A122,33.0,A143,A152,1,173,1,A191,1
14,15,32,A40,3186,64,74,2,A92,A101,3,A123,22.0,A143,A151,1,173,1,A191,0
12,12,32,A41,2028,65,73,4,A93,A101,2,A123,30.0,A143,A152,1,173,1,A191,0
12,12,34,A40,958,61,74,2,A93,A101,3,A121,47.0,A143,A152,2,172,2,A191,0
14,21,33,A42,1591,62,74,4,A93,A101,3,A121,34.0,A143,A152,2,174,1,A191,0
12,12,32,A42,2762,65,75,1,A92,A101,2,A122,25.0,A141,A152,1,173,1,A192,1
12,18,32,A41,2779,61,73,1,A94,A101,3,A123,22.0,A143,A151,1,173,1,A192,0
14,28,34,A43,2743,61,75,4,A93,A101,2,A123,29.0,A143,A152,2,173,1,A191,0
14,18,34,A43,1149,64,73,4,A93,A101,3,A121,46.0,A143,A152,2,173,1,A191,0
14,9,32,A42,1313,61,75,1,A93,A101,4,A123,22.0,A143,A152,1,173,1,A191,0
11,18,34,A45,1190,61,71,2,A92,A101,4,A124,55.0,A143,A153,3,171,2,A191,1
14,5,32,A49,3448,61,74,1,A93,A101,4,A121,63.0,A143,A152,1,172,1,A191,0
12,24,32,A410,11328,61,73,2,A93,A102,3,A123,29.0,A141,A152,2,174,1,A192,1
11,6,34,A42,1872,61,71,4,A93,A101,4,A124,36.0,A143,A153,3,174,1,A192,0
14,24,34,A45,2058,61,73,4,A91,A101,2,A121,33.0,A143,A152,2,173,1,A192,0
11,9,32,A42,2136,61,73,3,A93,A101,2,A121,25.0,A143,A152,1,173,1,A191,0
12,12,32,A43,1484,65,73,2,A94,A101,1,A121,25.0,A143,A152,1,173,1,A192,1
14,6,32,A45,660,63,74,2,A94,A101,4,A121,23.0,A143,A151,1,172,1,A191,0
14,24,34,A40,1287,64,75,4,A92,A101,4,A121,37.0,A143,A152,2,173,1,A192,0
11,42,34,A45,3394,61,71,4,A93,A102,4,A123,63.0,A143,A152,2,171,1,A191,0
13,12,31,A49,609,61,72,4,A92,A101,1,A121,26.0,A143,A152,1,171,1,A191,1
14,12,32,A40,1884,61,75,4,A93,A101,4,A123,39.0,A143,A152,1,174,1,A192,0
11,12,32,A42,1620,61,73,2,A92,A102,3,A122,30.0,A143,A152,1,173,1,A191,0
12,20,33,A410,2629,61,73,2,A93,A101,3,A123,29.0,A141,A152,2,173,1,A192,0
14,12,32,A46,719,61,75,4,A93,A101,4,A123,41.0,A141,A152,1,172,2,A191,1
12,48,34,A42,5096,61,73,2,A92,A101,3,A123,30.0,A143,A152,1,174,1,A192,1
14,9,34,A46,1244,65,75,4,A92,A101,4,A122,41.0,A143,A151,2,172,1,A191,0
11,36,32,A40,1842,61,72,4,A92,A101,4,A123,34.0,A143,A152,1,173,1,A192,1
12,7,32,A43,2576,61,73,2,A93,A103,2,A121,35.0,A143,A152,1,173,1,A191,0
13,12,32,A42,1424,65,75,3,A92,A101,4,A121,55.0,A143,A152,1,174,1,A192,0
12,15,33,A45,1512,64,73,3,A94,A101,3,A122,61.0,A142,A152,2,173,1,A191,1
14,36,34,A41,11054,65,73,4,A93,A101,2,A123,30.0,A143,A152,1,174,1,A192,0
14,6,32,A43,518,61,73,3,A92,A101,1,A121,29.0,A143,A152,1,173,1,A191,0
14,12,30,A42,2759,61,75,2,A93,A101,4,A122,34.0,A143,A152,2,173,1,A191,0
14,24,32,A41,2670,61,75,4,A93,A101,4,A123,35.0,A143,A152,1,174,1,A192,0
11,24,32,A40,4817,61,74,2,A93,A102,3,A122,31.0,A143,A152,1,173,1,A192,1
14,24,32,A41,2679,61,72,4,A92,A101,1,A124,29.0,A143,A152,1,174,1,A192,0
11,11,34,A40,3905,61,73,2,A93,A101,2,A121,36.0,A143,A151,2,173,2,A191,0
11,12,32,A41,3386,61,75,3,A93,A101,4,A124,35.0,A143,A153,1,173,1,A192,1
11,6,32,A44,343,61,72,4,A92,A101,1,A121,27.0,A143,A152,1,173,1,A191,0
14,18,32,A43,4594,61,72,3,A93,A101,2,A123,32.0,A143,A152,1,173,1,A192,0
11,36,32,A42,3620,61,73,1,A93,A103,2,A122,37.0,A143,A152,1,173,2,A191,0
11,15,32,A40,1721,61,72,2,A93,A101,3,A121,36.0,A143,A152,1,173,1,A191,0
12,12,32,A42,3017,61,72,3,A92,A101,1,A121,34.0,A143,A151,1,174,1,A191,0
12,12,32,A48,754,65,75,4,A93,A101,4,A122,38.0,A143,A152,2,173,1,A191,0
14,18,32,A49,1950,61,74,4,A93,A101,1,A123,34.0,A142,A152,2,173,1,A192,0
11,24,32,A41,2924,61,73,3,A93,A103,4,A124,63.0,A141,A152,1,173,2,A192,0
11,24,33,A43,1659,61,72,4,A92,A101,2,A123,29.0,A143,A151,1,172,1,A192,1
14,48,33,A43,7238,65,75,3,A93,A101,3,A123,32.0,A141,A152,2,173,2,A191,0
14,33,33,A49,2764,61,73,2,A92,A101,2,A123,26.0,A143,A152,2,173,1,A192,0
14,24,33,A41,4679,61,74,3,A93,A101,3,A123,35.0,A143,A152,2,172,1,A192,0
12,24,32,A43,3092,62,72,3,A94,A101,2,A123,22.0,A143,A151,1,173,1,A192,1
11,6,32,A46,448,61,72,4,A92,A101,4,A122,23.0,A143,A152,1,173,1,A191,1
11,9,32,A40,654,61,73,4,A93,A101,3,A123,28.0,A143,A152,1,172,1,A191,1
14,6,32,A48,1238,65,71,4,A93,A101,4,A122,36.0,A143,A152,1,174,2,A192,0
12,18,34,A43,1245,61,73,4,A94,A101,2,A123,33.0,A143,A152,1,173,1,A191,1
11,18,30,A42,3114,61,72,1,A92,A101,4,A122,26.0,A143,A151,1,173,1,A191,1
14,39,32,A41,2569,63,73,4,A93,A101,4,A123,24.0,A143,A152,1,173,1,A191,0
13,24,32,A43,5152,61,74,4,A93,A101,2,A123,25.0,A141,A152,1,173,1,A191,0
12,12,32,A49,1037,62,74,3,A93,A101,4,A121,39.0,A143,A152,1,172,1,A191,0
11,15,34,A42,1478,61,75,4,A93,A101,4,A123,44.0,A143,A152,2,173,2,A192,0
12,12,34,A43,3573,61,73,1,A92,A101,1,A121,23.0,A143,A152,1,172,1,A191,0
12,24,32,A40,1201,61,72,4,A93,A101,1,A122,26.0,A143,A152,1,173,1,A191,0
11,30,32,A42,3622,64,75,4,A92,A101,4,A122,57.0,A143,A151,2,173,1,A192,0
14,15,33,A42,960,64,74,3,A92,A101,2,A122,30.0,A143,A152,2,173,1,A191,0
14,12,34,A40,1163,63,73,4,A93,A101,4,A121,44.0,A143,A152,1,173,1,A192,0
12,6,33,A40,1209,61,71,4,A93,A101,4,A122,47.0,A143,A152,1,174,1,A192,1
14,12,32,A43,3077,61,73,2,A93,A101,4,A123,52.0,A143,A152,1,173,1,A192,0
14,24,32,A40,3757,61,75,4,A92,A102,4,A124,62.0,A143,A153,1,173,1,A192,0
14,10,32,A40,1418,62,73,3,A93,A101,2,A121,35.0,A143,A151,1,172,1,A191,0
14,6,32,A40,3518,61,73,2,A93,A103,3,A122,26.0,A143,A151,1,173,1,A191,0
14,12,34,A43,1934,61,75,2,A93,A101,2,A124,26.0,A143,A152,2,173,1,A191,0
12,27,30,A49,8318,61,75,2,A92,A101,4,A124,42.0,A143,A153,2,174,1,A192,1
14,6,34,A43,1237,62,73,1,A92,A101,1,A122,27.0,A143,A152,2,173,1,A191,0
12,6,32,A43,368,65,75,4,A93,A101,4,A122,38.0,A143,A152,1,173,1,A191,0
11,12,34,A40,2122,61,73,3,A93,A101,2,A121,39.0,A143,A151,2,172,2,A191,0
11,24,32,A42,2996,65,73,2,A94,A101,4,A123,22.0,A143,A152,1,173,1,A191,1
12,36,32,A42,9034,62,72,4,A93,A102,1,A124,29.0,A143,A151,1,174,1,A192,1
14,24,34,A42,1585,61,74,4,A93,A101,3,A122,40.0,A143,A152,2,173,1,A191,0
12,18,32,A43,1301,61,75,4,A94,A103,2,A121,32.0,A143,A152,1,172,1,A191,0
13,6,34,A40,1323,62,75,2,A91,A101,4,A123,28.0,A143,A152,2,173,2,A192,0
11,24,32,A40,3123,61,72,4,A92,A101,1,A122,27.0,A143,A152,1,173,1,A191,1
11,36,32,A41,5493,61,75,2,A93,A101,4,A124,42.0,A143,A153,1,173,2,A191,0
13,9,32,A43,1126,62,75,2,A91,A101,4,A121,49.0,A143,A152,1,173,1,A191,0
12,24,34,A43,1216,62,72,4,A93,A101,4,A124,38.0,A141,A152,2,173,2,A191,1
11,24,32,A40,1207,61,72,4,A92,A101,4,A122,24.0,A143,A151,1,173,1,A191,1
14,10,32,A40,1309,65,73,4,A93,A103,4,A122,27.0,A143,A152,1,172,1,A191,1
13,15,34,A41,2360,63,73,2,A93,A101,2,A123,36.0,A143,A152,1,173,1,A192,0
12,15,31,A40,6850,62,71,1,A93,A101,2,A122,34.0,A143,A152,1,174,2,A192,1
14,24,32,A43,1413,61,73,4,A94,A101,2,A122,28.0,A143,A152,1,173,1,A191,0
14,39,32,A41,8588,62,75,4,A93,A101,2,A123,45.0,A143,A152,1,174,1,A192,0
11,12,32,A40,759,61,74,4,A93,A101,2,A121,26.0,A143,A152,1,173,1,A191,1
14,36,32,A41,4686,61,73,2,A93,A101,2,A124,32.0,A143,A153,1,174,1,A192,0
13,15,32,A49,2687,61,74,2,A93,A101,4,A122,26.0,A143,A151,1,173,1,A192,0
12,12,33,A43,585,61,73,4,A94,A102,4,A121,22.0,A143,A151,2,173,1,A191,0
14,24,32,A40,2255,65,72,4,A93,A101,1,A122,54.0,A143,A152,1,173,1,A191,0
11,6,34,A40,609,61,74,4,A92,A101,3,A122,37.0,A143,A152,2,173,1,A191,0
11,6,34,A40,1361,61,72,2,A93,A101,4,A121,40.0,A143,A152,1,172,2,A191,0
14,36,34,A42,7127,61,72,2,A92,A101,4,A122,23.0,A143,A151,2,173,1,A192,1
11,6,32,A40,1203,62,75,3,A93,A101,2,A122,43.0,A143,A152,1,173,1,A192,0
14,6,34,A43,700,65,75,4,A93,A101,4,A124,36.0,A143,A153,2,173,1,A191,0
14,24,34,A45,5507,61,75,3,A93,A101,4,A124,44.0,A143,A153,2,173,1,A191,0
11,18,32,A43,3190,61,73,2,A92,A101,2,A121,24.0,A143,A152,1,173,1,A191,1
11,48,30,A42,7119,61,73,3,A93,A101,4,A124,53.0,A143,A153,2,173,2,A191,1
14,24,32,A41,3488,62,74,3,A92,A101,4,A123,23.0,A143,A152,1,173,1,A191,0
12,18,32,A43,1113,61,73,4,A92,A103,4,A121,26.0,A143,A152,1,172,2,A191,0
12,26,32,A41,7966,61,72,2,A93,A101,3,A123,30.0,A143,A152,2,173,1,A191,0
14,15,34,A46,1532,62,73,4,A92,A101,3,A123,31.0,A143,A152,1,173,1,A191,0
14,4,34,A43,1503,61,74,2,A93,A101,1,A121,42.0,A143,A152,2,172,2,A191,0
11,36,32,A43,2302,61,73,4,A91,A101,4,A123,31.0,A143,A151,1,173,1,A191,1
11,6,32,A40,662,61,72,3,A93,A101,4,A121,41.0,A143,A152,1,172,2,A192,0
12,36,32,A46,2273,61,74,3,A93,A101,1,A123,32.0,A143,A152,2,173,2,A191,0
12,15,32,A40,2631,62,73,2,A92,A101,4,A123,28.0,A143,A151,2,173,1,A192,1
14,12,33,A41,1503,61,73,4,A94,A101,4,A121,41.0,A143,A151,1,173,1,A191,0
14,24,32,A43,1311,62,74,4,A94,A101,3,A122,26.0,A143,A152,1,173,1,A192,0
14,24,32,A43,3105,65,72,4,A93,A101,2,A123,25.0,A143,A152,2,173,1,A191,0
13,21,34,A46,2319,61,72,2,A91,A101,1,A123,33.0,A143,A151,1,173,1,A191,1
11,6,32,A40,1374,65,71,4,A92,A101,3,A122,63.0,A143,A152,1,174,1,A192,0
12,18,34,A42,3612,61,75,3,A92,A101,4,A122,37.0,A143,A152,1,173,1,A192,0
11,48,32,A40,7763,61,75,4,A93,A101,4,A124,42.0,A141,A153,1,174,1,A191,1
13,18,32,A42,3049,61,72,1,A92,A101,1,A122,45.0,A142,A152,1,172,1,A191,0
12,12,32,A43,1534,61,72,1,A94,A101,1,A121,23.0,A143,A151,1,173,1,A191,1
14,24,33,A40,2032,61,75,4,A93,A101,4,A124,60.0,A143,A153,2,173,1,A192,0
11,30,32,A42,6350,65,75,4,A93,A101,4,A122,31.0,A143,A152,1,173,1,A191,1
13,18,32,A42,2864,61,73,2,A93,A101,1,A121,34.0,A143,A152,1,172,2,A191,1
14,12,34,A40,1255,61,75,4,A93,A101,4,A121,61.0,A143,A152,2,172,1,A191,0
11,24,33,A40,1333,61,71,4,A93,A101,2,A121,43.0,A143,A153,2,173,2,A191,1
14,24,34,A40,2022,61,73,4,A92,A101,4,A123,37.0,A143,A152,1,173,1,A192,0
14,24,32,A43,1552,61,74,3,A93,A101,1,A123,32.0,A141,A152,1,173,2,A191,0
11,12,31,A43,626,61,73,4,A92,A101,4,A121,24.0,A141,A152,1,172,1,A191,1
14,48,34,A41,8858,65,74,2,A93,A101,1,A124,35.0,A143,A153,2,173,1,A192,0
